country,year,IncomeGroup,TempChange,GM_PM25,sro_year,ssro_year,Urban,CHERate,OutPocketRate,CPI,lnPopDensity,lnTravel,WASHIndex,ImmIndex,AMC,J01A,J01B,J01C,J01D,J01E,J01F,J01G,J01M,SE.PRM.NENR,SE.SEC.NENR,AnimalmgKg,AnimalmgKg_adj,Aminoglycosides,Amphenicols,Cephalosporins,Lincosamides,Macrolides,Fluoroquinolones,Other quinolones,Penicillins,Pleuromutilins,Polypeptides,Sulfonamides,Tetracyclines,Others
38,1999,L,0.604,39.3,3.268002262,6.712612278,44.944,NA,NA,15,1.492692202,NA,NA,60.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1999,H,1.694,3.9,0.455745898,1.935878523,79.103,NA,NA,92,0.53031308,7.69068328,NA,91.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.92808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1999,H,0.792,10.1,NA,NA,100,NA,NA,NA,2.202930832,6.155639634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1999,L,0.502,31.5,1.081141532,3.32146552,37.557,NA,NA,NA,0.768456051,4,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1999,L,0.569,46.7,0.289485034,0.141435248,21.604,NA,NA,NA,0.802010969,4.662757832,NA,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.66303,6.99402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1999,UM,0.251,16,2.310253098,5.813705466,85.778,NA,NA,69,1.309869386,NA,NA,94.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1999,LM,1.229,22.7,1.225932078,1.739320034,34.865,NA,NA,34,2.125275491,7.862107516,NA,84.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,1999,LM,-0.01,11.8,8.25346249,15.24636874,73.53,NA,NA,29,1.541291569,5.860338007,NA,74.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.73617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,1999,L,0.235,9.2,1.485043333,0.112904002,28.124,NA,NA,NA,2.451604982,4.380211242,NA,75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.79396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
